ep_idx,ep_stem,path_type,frame_t,frame_idx,has_bbox,gt_class,cx,cy,area,grounding_any_success,grounding_n_boxes,grounding_phrases,basket_grounding_success,basket_iou,basket_bbox_str,side_phrases,free_text,mentions_basket,mentions_gray,mentions_corridor,mentions_object,text_len
2,episode_260408_124918_target_center_straight_path__core__fixed_center,center_straight,4,4,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3019,"[(0.359375, 0.453125, 0.546875, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a window. A small air conditioner is placed in the middle of the room.",False,False,False,False,80
2,episode_260408_124918_target_center_straight_path__core__fixed_center,center_straight,5,5,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a black cable,True,0.317,"[(0.359375, 0.453125, 0.578125, 0.796875)]",a black cable,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a window. A small air conditioner is placed in the middle of the room.",False,False,False,False,80
2,episode_260408_124918_target_center_straight_path__core__fixed_center,center_straight,7,7,True,FORWARD,0.5,0.8125,0.33301,True,2,gray basket|electrical outlet,True,0.2391,"[(0.296875, 0.453125, 0.546875, 0.859375)]",electrical outlet,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a white air conditioner in a room with a white wall and a white floor.",False,False,False,False,74
2,episode_260408_124918_target_center_straight_path__core__fixed_center,center_straight,12,12,True,FORWARD,0.5,0.4219,0.78711,True,2,gray basket|a white wall,True,0.2506,"[(0.015625, 0.421875, 0.546875, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a white trash can and a power outlet in a hallway.",False,False,True,False,70
3,episode_260408_125849_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.5938,0.03418,True,2,gray basket|a white wall,True,0.7318,"[(0.421875, 0.484375, 0.578125, 0.703125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioning unit in a room with a white wall and a window.",False,False,False,False,74
3,episode_260408_125849_target_center_straight_path__core__fixed_center,center_straight,2,2,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2638,"[(0.359375, 0.484375, 0.546875, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
3,episode_260408_125849_target_center_straight_path__core__fixed_center,center_straight,3,3,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2451,"[(0.328125, 0.453125, 0.515625, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a trash can and a power cord plugged into a wall.",False,False,False,False,73
3,episode_260408_125849_target_center_straight_path__core__fixed_center,center_straight,6,6,True,FORWARD,0.5,0.3594,0.66602,True,2,gray basket|a white wall,True,0.1012,"[(0.234375, 0.453125, 0.453125, 0.828125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a gray air conditioner.",False,True,False,False,70
3,episode_260408_125849_target_center_straight_path__core__fixed_center,center_straight,9,9,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|a power cord,True,0.2657,"[(0.140625, 0.453125, 0.390625, 0.921875)]",a power cord,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a white air conditioner.",False,False,False,False,70
4,episode_260408_130141_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.5938,0.03418,True,2,gray basket|a white wall,True,0.7318,"[(0.421875, 0.484375, 0.578125, 0.703125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
4,episode_260408_130141_target_center_straight_path__core__fixed_center,center_straight,2,2,True,FORWARD,0.5,0.5,0.05,True,3,gray basket|a window|white walls,True,0.3274,"[(0.390625, 0.484375, 0.578125, 0.734375)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room with a window and a white wall.",False,False,False,False,73
4,episode_260408_130141_target_center_straight_path__core__fixed_center,center_straight,3,3,True,FORWARD,0.5,0.3438,0.63574,True,2,gray basket|a white wall,True,0.0691,"[(0.390625, 0.453125, 0.546875, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioning unit in a room with a white wall and a window",False,False,False,False,74
4,episode_260408_130141_target_center_straight_path__core__fixed_center,center_straight,6,6,True,FORWARD,0.4688,0.6406,0.08203,True,4,gray basket|A gray basket air conditioner|the floor|a white wall,True,0.6625,"[(0.359375, 0.453125, 0.578125, 0.828125), (0.359375, 0.484375, 0.578125, 0.828125)]",the floor|a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room",False,False,False,False,66
4,episode_260408_130141_target_center_straight_path__core__fixed_center,center_straight,7,7,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3013,"[(0.359375, 0.453125, 0.609375, 0.859375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a power cord plugged into it.",False,False,False,False,72
5,episode_260408_152900_target_center_straight_path__core__fixed_center,center_straight,2,2,True,FORWARD,0.5,0.5,0.05,True,3,gray basket|a window|white walls,True,0.3274,"[(0.421875, 0.484375, 0.609375, 0.734375)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a window. A small air conditioner is placed in the middle of the room.",False,False,False,False,80
5,episode_260408_152900_target_center_straight_path__core__fixed_center,center_straight,6,6,True,FORWARD,0.5,0.3594,0.66602,True,2,gray basket|a black cable,True,0.1012,"[(0.390625, 0.453125, 0.609375, 0.828125)]",a black cable,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a white air conditioner in a room with a white wall and a black electrical outlet.",False,False,False,False,75
5,episode_260408_152900_target_center_straight_path__core__fixed_center,center_straight,7,7,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3013,"[(0.359375, 0.453125, 0.609375, 0.859375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room",False,False,False,False,66
5,episode_260408_152900_target_center_straight_path__core__fixed_center,center_straight,10,10,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.1919,"[(0.234375, 0.421875, 0.609375, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
5,episode_260408_152900_target_center_straight_path__core__fixed_center,center_straight,13,13,True,FORWARD,0.5,0.4062,0.75684,True,2,gray basket|a white wall,True,0.3328,"[(0.078125, 0.390625, 0.703125, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
6,episode_260408_153332_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5156,0.5938,0.02734,True,2,gray basket|a window,True,0.6076,"[(0.453125, 0.484375, 0.578125, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
6,episode_260408_153332_target_center_straight_path__core__fixed_center,center_straight,3,3,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.4077,"[(0.390625, 0.453125, 0.578125, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a window. A small air conditioner is placed in the middle of the room.",False,False,False,False,80
6,episode_260408_153332_target_center_straight_path__core__fixed_center,center_straight,5,5,True,FORWARD,0.4844,0.6406,0.05859,True,2,gray basket|a window,True,0.6321,"[(0.390625, 0.484375, 0.578125, 0.796875)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a large air conditioner sitting on the floor.",False,False,False,False,70
6,episode_260408_153332_target_center_straight_path__core__fixed_center,center_straight,8,8,True,FORWARD,0.4531,0.6562,0.10156,True,2,gray basket|a cable,True,0.6454,"[(0.328125, 0.453125, 0.578125, 0.859375)]",a cable,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a white air purifier in a room with a white wall and a black electrical outlet.",False,False,False,False,75
6,episode_260408_153332_target_center_straight_path__core__fixed_center,center_straight,10,10,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.1711,"[(0.265625, 0.453125, 0.578125, 0.953125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a power cord plugged into it.",False,False,False,False,72
7,episode_260408_153550_target_center_straight_path__core__fixed_center,center_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3858,"[(0.453125, 0.453125, 0.609375, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a dirty air conditioner in a room",False,False,False,False,66
7,episode_260408_153550_target_center_straight_path__core__fixed_center,center_straight,2,2,True,FORWARD,0.5,0.3281,0.60547,True,3,gray basket|a window|white walls,True,0.0598,"[(0.453125, 0.484375, 0.609375, 0.734375)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a window. A small air conditioner is placed in the middle of the room.",False,False,False,False,80
7,episode_260408_153550_target_center_straight_path__core__fixed_center,center_straight,5,5,True,FORWARD,0.5156,0.6406,0.05859,True,2,gray basket|a white wall,True,0.6321,"[(0.421875, 0.484375, 0.609375, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of the inside of a building with a white wall and a grey air conditioner.",False,True,False,False,73
7,episode_260408_153550_target_center_straight_path__core__fixed_center,center_straight,11,11,True,FORWARD,0.5,0.4062,0.75684,True,2,gray basket|a white wall,True,0.209,"[(0.234375, 0.421875, 0.640625, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey metal box with a hole in the top, sitting on a concrete floor.",False,True,False,True,74
7,episode_260408_153550_target_center_straight_path__core__fixed_center,center_straight,13,13,True,FORWARD,0.5,0.4062,0.75684,True,2,gray basket|a white wall,True,0.3097,"[(0.078125, 0.421875, 0.703125, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can with a power cord plugged into it.",False,True,False,False,70
8,episode_260408_153834_target_center_straight_path__core__fixed_center,center_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,3,gray basket|a window|white walls,True,0.3858,"[(0.421875, 0.453125, 0.578125, 0.703125)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
8,episode_260408_153834_target_center_straight_path__core__fixed_center,center_straight,4,4,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3774,"[(0.421875, 0.453125, 0.609375, 0.765625)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room with a window",False,False,False,False,69
8,episode_260408_153834_target_center_straight_path__core__fixed_center,center_straight,5,5,True,FORWARD,0.5156,0.6406,0.05859,True,2,gray basket|a white wall,True,0.6321,"[(0.421875, 0.484375, 0.609375, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a grey air conditioner.",False,True,False,False,70
8,episode_260408_153834_target_center_straight_path__core__fixed_center,center_straight,8,8,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|A gray basket in a room,True,0.2824,"[(0.390625, 0.453125, 0.640625, 0.890625), (0.390625, 0.484375, 0.640625, 0.890625)]",,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a heater in a room",False,False,False,False,64
8,episode_260408_153834_target_center_straight_path__core__fixed_center,center_straight,13,13,True,FORWARD,0.5156,0.6875,0.4082,True,2,gray basket|a white wall,True,0.868,"[(0.171875, 0.390625, 0.859375, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
9,episode_260408_153947_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.5938,0.03418,True,3,gray basket|a window|white walls,True,0.7318,"[(0.421875, 0.484375, 0.578125, 0.703125)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
9,episode_260408_153947_target_center_straight_path__core__fixed_center,center_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3858,"[(0.421875, 0.453125, 0.578125, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a trash can",False,False,False,False,68
9,episode_260408_153947_target_center_straight_path__core__fixed_center,center_straight,2,2,True,FORWARD,0.5,0.3438,0.63574,True,2,gray basket|a white wall,True,0.0614,"[(0.390625, 0.484375, 0.546875, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a ventilation fan in the corner",False,False,False,False,68
9,episode_260408_153947_target_center_straight_path__core__fixed_center,center_straight,3,3,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3774,"[(0.390625, 0.453125, 0.578125, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a grey air conditioner.",False,True,False,False,70
9,episode_260408_153947_target_center_straight_path__core__fixed_center,center_straight,11,11,True,FORWARD,0.5,0.375,0.69629,True,2,gray basket|electrical outlet,True,0.2076,"[(0.265625, 0.421875, 0.703125, 0.984375)]",electrical outlet,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in front of a white wall",False,True,False,False,69
10,episode_260408_154118_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.3281,0.60547,True,2,gray basket|a window,True,0.0565,"[(0.421875, 0.484375, 0.578125, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
10,episode_260408_154118_target_center_straight_path__core__fixed_center,center_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3858,"[(0.421875, 0.453125, 0.578125, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
10,episode_260408_154118_target_center_straight_path__core__fixed_center,center_straight,4,4,True,FORWARD,0.5,0.3438,0.63574,True,2,gray basket|a white wall,True,0.0756,"[(0.421875, 0.484375, 0.609375, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a grey air conditioner.",False,True,False,False,70
10,episode_260408_154118_target_center_straight_path__core__fixed_center,center_straight,8,8,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.1703,"[(0.453125, 0.453125, 0.734375, 0.890625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall",False,False,False,False,69
10,episode_260408_154118_target_center_straight_path__core__fixed_center,center_straight,9,9,True,FORWARD,0.5,0.3594,0.66602,True,2,gray basket|a white wall,True,0.1246,"[(0.484375, 0.453125, 0.765625, 0.921875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in front of a wall",False,False,False,False,67
11,episode_260408_154351_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.3281,0.60547,True,3,gray basket|a window|white walls,True,0.0452,"[(0.453125, 0.484375, 0.578125, 0.703125)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
11,episode_260408_154351_target_center_straight_path__core__fixed_center,center_straight,2,2,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.2879,"[(0.421875, 0.484375, 0.578125, 0.734375)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room with a white wall and a window",False,False,False,False,73
11,episode_260408_154351_target_center_straight_path__core__fixed_center,center_straight,6,6,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|a white wall,True,0.0422,"[(0.328125, 0.453125, 0.546875, 0.828125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room",False,False,False,False,66
11,episode_260408_154351_target_center_straight_path__core__fixed_center,center_straight,11,11,True,FORWARD,0.3281,0.7031,0.24609,True,2,gray basket|a white wall,True,0.7888,"[(0.109375, 0.421875, 0.546875, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a white air conditioner in a room with a white wall and a black outlet.",False,False,False,False,74
11,episode_260408_154351_target_center_straight_path__core__fixed_center,center_straight,13,13,True,FORWARD,0.5,0.4219,0.78711,True,2,gray basket|a white wall,True,0.2994,"[(0.015625, 0.390625, 0.609375, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway with a power outlet in the background",False,False,True,False,72
12,episode_260408_154800_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.3281,0.60547,True,2,gray basket|a window,True,0.0452,"[(0.453125, 0.484375, 0.578125, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a trash can",False,False,False,False,68
12,episode_260408_154800_target_center_straight_path__core__fixed_center,center_straight,3,3,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3349,"[(0.390625, 0.453125, 0.546875, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room with a white wall and a window",False,False,False,False,73
12,episode_260408_154800_target_center_straight_path__core__fixed_center,center_straight,6,6,True,FORWARD,0.5,0.5,0.05,True,4,gray basket|A gray basket air conditioner|the floor|a white wall,True,0.2958,"[(0.328125, 0.453125, 0.578125, 0.828125), (0.359375, 0.453125, 0.578125, 0.828125)]",the floor|a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room",False,False,False,False,66
